Age,Income,EmploymentStatus,YearsAtJob,Dependents,DebtToIncome,ExistingLoan,CreditScore,Approved
56,109614,Self-Employed,14,0,0.11,No,508,1
46,108116,Unemployed,6,3,0.13,No,821,1
32,76235,Employed,3,1,0.18,Yes,840,1
60,34855,Employed,16,4,0.12,No,780,1
25,56169,Employed,5,1,0.43,No,823,1
38,66404,Employed,10,3,0.42,No,824,1
56,39569,Self-Employed,11,1,0.21,No,663,1
36,145074,Employed,14,0,0.17,Yes,722,1
40,149006,Employed,26,2,0.17,Yes,512,1
28,74437,Employed,11,1,0.58,No,468,1
28,68506,Employed,10,2,0.45,Yes,507,0
41,45738,Employed,26,1,0.39,No,726,1
53,26772,Self-Employed,16,3,0.26,No,820,1
57,110410,Employed,7,2,0.32,No,318,1
41,39731,Employed,11,1,0.14,No,785,1
20,30131,Employed,28,3,0.6,No,386,1
39,86324,Employed,8,0,0.48,No,829,1
19,74097,Employed,10,4,0.41,No,536,1
41,101720,Employed,2,3,0.39,No,473,1
61,116433,Unemployed,6,3,0.35,No,403,1
47,22889,Self-Employed,28,0,0.23,No,536,1
55,29569,Employed,20,2,0.21,No,401,1
19,107193,Employed,2,1,0.37,Yes,470,0
38,95677,Unemployed,20,2,0.14,No,437,1
50,105192,Self-Employed,15,3,0.14,No,337,1
29,143757,Employed,9,1,0.38,No,690,1
39,107154,Self-Employed,22,4,0.56,Yes,716,1
61,97470,Self-Employed,6,4,0.56,No,323,1
42,128073,Self-Employed,24,1,0.11,No,731,1
44,108822,Employed,23,3,0.15,No,586,1
59,146019,Employed,19,0,0.39,No,381,1
45,27612,Employed,14,2,0.52,Yes,554,0
33,71644,Unemployed,20,2,0.58,No,834,1
32,52069,Self-Employed,20,0,0.53,No,626,1
64,101741,Employed,9,0,0.44,Yes,797,1
61,47331,Unemployed,11,4,0.2,No,698,1
20,75897,Unemployed,17,0,0.14,No,849,1
54,33934,Unemployed,27,1,0.12,No,455,1
24,30095,Unemployed,22,4,0.41,No,426,0
38,111494,Unemployed,22,3,0.12,No,576,1
26,122544,Employed,8,4,0.47,No,326,1
56,38706,Unemployed,28,4,0.46,Yes,320,0
